ensembl_gene_id;gene_symbol
ENSRNOG00000020673;Pbxip1
ENSRNOG00000002835;Luc7l3
ENSRNOG00000005765;Ap4s1
ENSRNOG00000015213;Fxn
ENSRNOG00000000879;Slc9a6
ENSRNOG00000039587;Wdr13
ENSRNOG00000030418;Tmem47
ENSRNOG00000006803;Dnajc10
ENSRNOG00000014297;Sdc4
ENSRNOG00000008950;Adi1
ENSRNOG00000001032;Ccz1b
ENSRNOG00000048898;Wasf3
ENSRNOG00000020518;Fam189b
ENSRNOG00000011026;Irf2bpl
ENSRNOG00000054871;LOC103694865
ENSRNOG00000004344;Zdhhc3
ENSRNOG00000004284;Btg1
ENSRNOG00000025768;Clk1
ENSRNOG00000037647;Ostm1
ENSRNOG00000002229;Adcy5
ENSRNOG00000027888;Cmss1
ENSRNOG00000001416;Vgf
ENSRNOG00000061230;L1cam
ENSRNOG00000001289;LOC498154
ENSRNOG00000019205;Gnpat
ENSRNOG00000017456;Vstm2b
ENSRNOG00000024411;Cbr4
ENSRNOG00000018207;Dynlt1
ENSRNOG00000002669;Cluh
ENSRNOG00000012874;Rgma
ENSRNOG00000024065;Zfp575
ENSRNOG00000019484;Slc6a9
ENSRNOG00000002301;Uso1
ENSRNOG00000061146;Gar1
ENSRNOG00000016731;Tpm2
ENSRNOG00000031387;Dazap1
ENSRNOG00000001490;Pdcd2
ENSRNOG00000015496;Tpm4
ENSRNOG00000007254;Ttc9
ENSRNOG00000055401;Kcnc1
ENSRNOG00000033700;Bud23
ENSRNOG00000010838;Araf
ENSRNOG00000005916;Ppm1a
ENSRNOG00000006513;Borcs6
ENSRNOG00000056596;Alas1
ENSRNOG00000004135;RGD1311745
ENSRNOG00000032677;Tssc4
ENSRNOG00000001640;Tomm70
ENSRNOG00000020115;Ilkap
ENSRNOG00000036686;Anapc11
ENSRNOG00000015616;Rgs14
ENSRNOG00000007882;Ablim2
ENSRNOG00000004169;Fzr1
ENSRNOG00000026953;Gpr88
ENSRNOG00000028236;RGD1309104
ENSRNOG00000013196;Dok5
ENSRNOG00000002914;Trmt1
ENSRNOG00000000586;Gtf3c6
ENSRNOG00000023538;Aldh5a1
ENSRNOG00000020793;Ruvbl2
ENSRNOG00000013076;Csnk1e
ENSRNOG00000022934;AABR07066818.1
ENSRNOG00000006810;Lancl2
ENSRNOG00000029592;Srsf11
ENSRNOG00000002536;C1galt1c1
ENSRNOG00000018414;Csf1r
ENSRNOG00000002449;Maged2
ENSRNOG00000012100;Ssbp1
ENSRNOG00000027520;Pls3
ENSRNOG00000015301;Elp2
ENSRNOG00000002916;Car4
ENSRNOG00000003599;Utp3
ENSRNOG00000021031;Grn
ENSRNOG00000031269;RGD1304694
ENSRNOG00000019758;Ipo13
ENSRNOG00000007781;Stau1
ENSRNOG00000031421;Eif1a
ENSRNOG00000027867;Rexo4
ENSRNOG00000055309;Drg2
ENSRNOG00000048736;Mllt1
ENSRNOG00000014268;Abca2
ENSRNOG00000000411;Nus1
ENSRNOG00000013794;Rbp1
ENSRNOG00000018644;Slc6a7
ENSRNOG00000020138;Slc4a3
ENSRNOG00000020159;Dalrd3
ENSRNOG00000011014;Copg2
ENSRNOG00000026163;Cpt1c
ENSRNOG00000009299;Adra2c
ENSRNOG00000018153;Rbm5
ENSRNOG00000019740;Hdgfl3
ENSRNOG00000060821;Rnf114
ENSRNOG00000019915;Xrcc1
ENSRNOG00000008065;Wwc1
ENSRNOG00000018047;Gorasp1
ENSRNOG00000005102;Washc3
ENSRNOG00000002388;Trim41
ENSRNOG00000001870;Lztr1
ENSRNOG00000052564;Gpx3
ENSRNOG00000009275;Kpnb1
ENSRNOG00000050741;Rbm4
ENSRNOG00000015596;Efhd1
ENSRNOG00000015455;Spr
ENSRNOG00000011937;Sgtb
ENSRNOG00000046283;Tmem41a
ENSRNOG00000027697;Nmnat2
ENSRNOG00000010989;Ipo5
ENSRNOG00000018602;Camta1
ENSRNOG00000012962;Nudt16
ENSRNOG00000021087;Lgi4
ENSRNOG00000030126;Clk3
ENSRNOG00000051258;Taf9
ENSRNOG00000017854;Ucp2
ENSRNOG00000002977;Ttc19
ENSRNOG00000047625;Atg4d
ENSRNOG00000038597;Dlg1
ENSRNOG00000026497;Pigc
ENSRNOG00000011853;Mbd2
ENSRNOG00000009085;Prkag2
ENSRNOG00000000316;Sobp
ENSRNOG00000009079;Prkar2b
ENSRNOG00000050323;Srsf1
ENSRNOG00000000068;Ppp2r5a
ENSRNOG00000011467;Uck1
ENSRNOG00000000613;Tfam
ENSRNOG00000056756;Actn1
ENSRNOG00000000665;Pitpnb
ENSRNOG00000016338;Fam92a
ENSRNOG00000020929;Lin37
ENSRNOG00000028690;LOC100362366
ENSRNOG00000038176;Ufm1
ENSRNOG00000014429;Arfgap2
ENSRNOG00000011157;Jak1
ENSRNOG00000016849;Ppp2r5d
ENSRNOG00000037957;Aifm3
ENSRNOG00000057527;RF00030
ENSRNOG00000011929;Abcd3
ENSRNOG00000019645;Osbp2
ENSRNOG00000014613;Ddah1
ENSRNOG00000003625;Ubxn4
ENSRNOG00000011305;Sox10
ENSRNOG00000016274;Zfp580
ENSRNOG00000026840;Thap3
ENSRNOG00000002032;Ifngr2
ENSRNOG00000012046;Prmt5
ENSRNOG00000028417;Neurod2
ENSRNOG00000001062;Kmt5a
ENSRNOG00000012771;Ddx41
ENSRNOG00000057044;Garnl3
ENSRNOG00000015551;Fuca2
ENSRNOG00000017311;Me3
ENSRNOG00000060905;AC111831.2
ENSRNOG00000020452;Nsmce4a
ENSRNOG00000018533;Iffo1
ENSRNOG00000003359;Ogt
ENSRNOG00000004019;Phlda1
ENSRNOG00000021263;Tmem230
ENSRNOG00000033146;LOC103690015
ENSRNOG00000012237;Rdx
ENSRNOG00000018403;Atg4b
ENSRNOG00000016099;Id4
ENSRNOG00000015095;Spryd7
ENSRNOG00000051232;Gbe1
ENSRNOG00000024867;Eme2
ENSRNOG00000006226;Cacng2
ENSRNOG00000021117;Rps6ka4
ENSRNOG00000055305;Parvb
ENSRNOG00000009042;Sec24c
ENSRNOG00000003078;Dcaf6
ENSRNOG00000007433;Cyb561
ENSRNOG00000019975;Cdc5l
ENSRNOG00000000532;Cmtr1
ENSRNOG00000013766;Acaa2
ENSRNOG00000023533;Dipk1a
ENSRNOG00000043060;Dnajc4
ENSRNOG00000006858;Pyurf
ENSRNOG00000000047;Cd82
ENSRNOG00000049394;LOC100912599
ENSRNOG00000004319;AABR07038019.1
ENSRNOG00000058882;Emd
ENSRNOG00000018114;Acadvl
ENSRNOG00000023593;Upf2
ENSRNOG00000018552;Slc25a38
ENSRNOG00000006975;Wasl
ENSRNOG00000011294;Usp33
ENSRNOG00000016313;Ctnnbip1
ENSRNOG00000007014;Cnksr2
ENSRNOG00000031612;Gls2
ENSRNOG00000021891;Zdhhc8
ENSRNOG00000019394;Mpv17l2
ENSRNOG00000016872;Plppr4
ENSRNOG00000029087;Nap1l3
ENSRNOG00000004740;Mmadhc
ENSRNOG00000009994;Dlat
ENSRNOG00000002258;Tmem150c
ENSRNOG00000056955;Bicdl1
ENSRNOG00000018077;Gpat4
ENSRNOG00000026455;Gpd1l
ENSRNOG00000048747;Cdk5rap3
ENSRNOG00000003590;Tom1l2
ENSRNOG00000015845;Fam129b
ENSRNOG00000011419;Aldh6a1
ENSRNOG00000024363;Sertad1
ENSRNOG00000025806;Prr3
ENSRNOG00000014165;Ssr1
ENSRNOG00000019268;Pelp1
ENSRNOG00000009309;Meaf6
ENSRNOG00000017949;Mvb12a
ENSRNOG00000003847;Gid4
ENSRNOG00000058476;Mast2
ENSRNOG00000010409;Nol6
ENSRNOG00000011622;Echdc1
ENSRNOG00000001989;Alcam
ENSRNOG00000010440;Gnal
ENSRNOG00000027940;Plppr3
ENSRNOG00000022802;Tmem184b
ENSRNOG00000005796;Ctnna1
ENSRNOG00000018949;Dlk2
ENSRNOG00000031656;Ccnh
ENSRNOG00000058784;AABR07044362.4
ENSRNOG00000019407;Dmap1
ENSRNOG00000001629;Wrb
ENSRNOG00000036802;Snhg11
ENSRNOG00000012354;Trim23
ENSRNOG00000008613;Gatad1
ENSRNOG00000021725;Mlec
ENSRNOG00000015517;Zfp444
ENSRNOG00000013461;Ralbp1
ENSRNOG00000011678;Wbp4
ENSRNOG00000010415;Atxn7l1
ENSRNOG00000014674;Exosc9
ENSRNOG00000059538;Clec2g
ENSRNOG00000012582;Eif4ebp1
ENSRNOG00000053269;Tmem106c
ENSRNOG00000000839;Nfkbil1
ENSRNOG00000018271;Scamp4
ENSRNOG00000050016;Gtf3a
ENSRNOG00000047287;Nucks1
ENSRNOG00000022247;Nr2c2ap
ENSRNOG00000015142;Timm21
ENSRNOG00000006895;Vps53
ENSRNOG00000014218;Tmem25
ENSRNOG00000011647;S100a6
ENSRNOG00000014626;Katnb1
ENSRNOG00000033024;AC099453.1
ENSRNOG00000001114;Wipi2
ENSRNOG00000027468;Slc6a15
ENSRNOG00000026517;Vrk3
ENSRNOG00000018898;Mpi
ENSRNOG00000052207;LOC100909878
ENSRNOG00000009039;Trappc12
ENSRNOG00000043189;Trub2
ENSRNOG00000014119;Farsb
ENSRNOG00000019778;Cavin1
ENSRNOG00000059683;Mpp2
ENSRNOG00000057756;Osbpl2
ENSRNOG00000012184;Urgcp
ENSRNOG00000013180;Ercc3
ENSRNOG00000014083;Iqsec3
ENSRNOG00000008597;Tada3
ENSRNOG00000010735;Nfyc
ENSRNOG00000013285;Imp4
ENSRNOG00000006795;Apmap
ENSRNOG00000059550;Ppp1r8
ENSRNOG00000006984;Mapk11
ENSRNOG00000008456;Thoc5
ENSRNOG00000049181;Sh2b1
ENSRNOG00000023661;Celf2
ENSRNOG00000004602;Rnf145
ENSRNOG00000004471;Polr3h
ENSRNOG00000011260;Cmbl
ENSRNOG00000009271;Smarca4
ENSRNOG00000003116;Dph1
ENSRNOG00000011135;Gtf2b
ENSRNOG00000025612;Sez6l
ENSRNOG00000015225;Gramd2b
ENSRNOG00000006663;Usp2
ENSRNOG00000011914;Dtnb
ENSRNOG00000042355;Tarbp2
ENSRNOG00000013228;Scrg1
ENSRNOG00000003524;Lrrc59
ENSRNOG00000021899;Tmem115
ENSRNOG00000000848;Gpank1
ENSRNOG00000022686;Zdhhc2
ENSRNOG00000012438;Larp6
ENSRNOG00000029549;Eci2
ENSRNOG00000014617;Tgoln2
ENSRNOG00000020658;Aarsd1
ENSRNOG00000006467;Eif2b2
ENSRNOG00000019737;Sema4a
ENSRNOG00000050258;Ccnd3
ENSRNOG00000003592;Med28
ENSRNOG00000012957;Sh3glb1
ENSRNOG00000019143;Galnt2
ENSRNOG00000003973;Cyb5r1
ENSRNOG00000019768;Ncoa4
ENSRNOG00000000394;Srgn
ENSRNOG00000022635;Dlg2
ENSRNOG00000007221;Dut
ENSRNOG00000007849;Zmat5
ENSRNOG00000002848;Maoa
ENSRNOG00000003348;Rasd1
ENSRNOG00000016444;AABR07067506.1
ENSRNOG00000011007;Ube2o
ENSRNOG00000016167;Spata2L
ENSRNOG00000015675;Nell1
ENSRNOG00000003964;Nsmce2
ENSRNOG00000016399;RGD1359127
ENSRNOG00000015602;Cdh2
ENSRNOG00000012944;Casp9
ENSRNOG00000010733;Vps11
ENSRNOG00000010034;Asah1
ENSRNOG00000020475;Sart1
ENSRNOG00000019851;Cox6a2
ENSRNOG00000000470;Vps52
ENSRNOG00000060337;Exosc7
ENSRNOG00000018719;Cir1
ENSRNOG00000010141;Ttll1
ENSRNOG00000059911;AABR07026294.1
ENSRNOG00000025889;Gnas
ENSRNOG00000013030;Pip4k2b
ENSRNOG00000012199;Sox2
ENSRNOG00000014440;Josd1
ENSRNOG00000008424;Aagab
ENSRNOG00000010332;Nipsnap3b
ENSRNOG00000006305;Slc38a2
ENSRNOG00000010370;Tnip1
ENSRNOG00000021216;Pex11b
ENSRNOG00000000974;Zfp358
ENSRNOG00000022368;Ddx49
ENSRNOG00000009689;Api5
ENSRNOG00000006340;Memo1
ENSRNOG00000023271;Parl
ENSRNOG00000019693;Clpb
ENSRNOG00000010362;Anxa2
ENSRNOG00000019840;Mdp1
ENSRNOG00000029415;RGD1565784
ENSRNOG00000001374;Rasal1
ENSRNOG00000002342;Aldh3a2
ENSRNOG00000020369;Igf2
ENSRNOG00000059840;Unc5a
ENSRNOG00000020848;Coq8b
ENSRNOG00000007351;Ggh
ENSRNOG00000006004;Phc2
ENSRNOG00000012236;Hddc3
ENSRNOG00000010447;Tmod2
ENSRNOG00000006534;Crbn
ENSRNOG00000004577;Fez2
ENSRNOG00000007671;Smu1
ENSRNOG00000060307;Ten1
ENSRNOG00000008372;Vamp7
ENSRNOG00000013217;Ttc33
ENSRNOG00000026941;Tril
ENSRNOG00000020457;Tacc2
ENSRNOG00000006619;Dnajc9
ENSRNOG00000015268;Plpp6
ENSRNOG00000003267;Pycr2
ENSRNOG00000005279;Ndufaf7
ENSRNOG00000009963;Ctps1
ENSRNOG00000011404;Chkb
ENSRNOG00000018547;Mrpl46
ENSRNOG00000010068;Plpp7
ENSRNOG00000014618;Med31
ENSRNOG00000012156;Ostf1
ENSRNOG00000017291;Sord
ENSRNOG00000012954;Eefsec
ENSRNOG00000060912;Qars
ENSRNOG00000020119;Pcdha6
ENSRNOG00000001351;Trafd1
ENSRNOG00000023376;Riok3
ENSRNOG00000006197;Calu
ENSRNOG00000047896;Kctd10
ENSRNOG00000014520;Ing1
ENSRNOG00000059765;Asic1
ENSRNOG00000021024;Pi4kb
ENSRNOG00000029735;Pid1
ENSRNOG00000053562;Arx
ENSRNOG00000010124;Trim2
ENSRNOG00000014522;Mlycd
ENSRNOG00000021492;Rbbp4
ENSRNOG00000019634;Eif4e2
ENSRNOG00000021140;Kcnk4
ENSRNOG00000007829;Lactb2
ENSRNOG00000002697;Mtmr1
ENSRNOG00000000779;Znrd1
ENSRNOG00000059539;Tagln3
ENSRNOG00000002574;Nubp1
ENSRNOG00000020723;Pten
ENSRNOG00000029028;Mknk2
ENSRNOG00000007546;Asns
ENSRNOG00000001712;Alg3
ENSRNOG00000013376;Mvd
ENSRNOG00000013656;Lpar1
ENSRNOG00000054224;Bloc1s4
ENSRNOG00000000477;Daxx
ENSRNOG00000019384;Med11
ENSRNOG00000005931;Cpq
ENSRNOG00000032152;Rab11fip3
ENSRNOG00000020901;S1pr5
ENSRNOG00000019109;Thap11
ENSRNOG00000028254;Tmem141
ENSRNOG00000018649;Slc35c2
ENSRNOG00000017777;Ahcy
ENSRNOG00000004200;Sybu
ENSRNOG00000013442;Ciz1
ENSRNOG00000017745;Cog4
ENSRNOG00000014903;Zfyve27
ENSRNOG00000050714;Islr2
ENSRNOG00000020232;Rit1
ENSRNOG00000011000;Rims1
ENSRNOG00000003533;Clcn4
ENSRNOG00000004863;Mpped2
ENSRNOG00000006901;Cd320
ENSRNOG00000002210;Hsd17b11
ENSRNOG00000051498;Prpf6
ENSRNOG00000015380;Jup
ENSRNOG00000016999;Grp
ENSRNOG00000029855;Letmd1
ENSRNOG00000029903;Spock3
ENSRNOG00000022514;Tor2a
ENSRNOG00000001171;Coq5
ENSRNOG00000030683;Vps26a
ENSRNOG00000021945;Ccdc184
ENSRNOG00000020288;Slc25a20
ENSRNOG00000032463;Rap1a
ENSRNOG00000000435;Ppt2
ENSRNOG00000016423;Tacc1
ENSRNOG00000050137;Ajap1
ENSRNOG00000000480;Phf1
ENSRNOG00000001010;Tecpr1
ENSRNOG00000009773;Elovl4
ENSRNOG00000031287;Cacna2d3
ENSRNOG00000011146;Gyg1
ENSRNOG00000051303;AC127084.5
ENSRNOG00000013014;Cyba
ENSRNOG00000015434;Midn
ENSRNOG00000011189;Acy1
ENSRNOG00000040205;Zcchc24
ENSRNOG00000011621;Hnrnpc
ENSRNOG00000054212;Pde1a
ENSRNOG00000058916;Ccdc65
ENSRNOG00000018494;Ppp1r3c
ENSRNOG00000006947;Pdhx
ENSRNOG00000015840;Hsd17b4
ENSRNOG00000037220;AABR07031089.1
ENSRNOG00000047118;LOC683897
ENSRNOG00000005174;Tmem121
ENSRNOG00000001245;Pcbp3
ENSRNOG00000028650;AABR07065602.1
ENSRNOG00000025424;Yrdc
ENSRNOG00000020379;Cog8
ENSRNOG00000005276;Csnk2a1
ENSRNOG00000009149;Jam3
ENSRNOG00000019450;Etf1
ENSRNOG00000036660;Fn3krp
ENSRNOG00000003719;Atpaf2
ENSRNOG00000001404;Agfg2
ENSRNOG00000030120;Ormdl2
ENSRNOG00000009114;Fam110b
ENSRNOG00000005260;Acp1
ENSRNOG00000014946;AABR07005588.1
ENSRNOG00000014363;Arhgef3
ENSRNOG00000038012;Commd6
ENSRNOG00000009845;Acadm
ENSRNOG00000017646;RGD1309651
ENSRNOG00000012348;Exosc4
ENSRNOG00000013889;Tmed3
ENSRNOG00000031974;Pcdh10
ENSRNOG00000007979;Phospho2
ENSRNOG00000021678;Alkbh3
ENSRNOG00000004726;Mapkapk2
ENSRNOG00000011164;Coq6
ENSRNOG00000007926;Map2k5
ENSRNOG00000028504;Socs5
ENSRNOG00000059463;Slc39a1
ENSRNOG00000039829;Rpp14
ENSRNOG00000021007;Snx15
ENSRNOG00000019799;Pcdhgc3
ENSRNOG00000001086;Vps37b
ENSRNOG00000050649;Tvp23b
ENSRNOG00000006747;Cc2d1a
ENSRNOG00000042878;Wdr74
ENSRNOG00000015534;Cnep1r1
ENSRNOG00000052637;Samd1
ENSRNOG00000003330;Acsf2
ENSRNOG00000045558;Cd34
ENSRNOG00000009209;Slitrk1
ENSRNOG00000008377;Wdtc1
ENSRNOG00000007418;Ipo9
ENSRNOG00000000396;Ddx50
ENSRNOG00000004496;Rock2
ENSRNOG00000016905;Hmg20a
ENSRNOG00000052963;Brox
ENSRNOG00000018755;Acss2
ENSRNOG00000002339;Mark1
ENSRNOG00000026589;Dpy19l1
ENSRNOG00000014010;Gfra2
ENSRNOG00000018194;Srrm1
ENSRNOG00000004220;Ebag9
ENSRNOG00000010752;Tmem41b
ENSRNOG00000002730;Rgs5
ENSRNOG00000016265;Acsl5
ENSRNOG00000013679;Sema4d
ENSRNOG00000020860;Tdrkh
ENSRNOG00000021106;Gramd1a
ENSRNOG00000014742;Ankrd13b
ENSRNOG00000020651;Cars
ENSRNOG00000014075;Clybl
ENSRNOG00000007981;Klhl23
ENSRNOG00000009571;Wipf3
ENSRNOG00000059402;Itgb1bp1
ENSRNOG00000022691;St8sia5
ENSRNOG00000018067;Smn1
ENSRNOG00000048985;LOC100910575
ENSRNOG00000032776;Srp54a
ENSRNOG00000006093;LRRTM1
ENSRNOG00000011008;Bet1
ENSRNOG00000009373;RGD1562690
ENSRNOG00000014531;Hbs1l
ENSRNOG00000016055;Fkrp
ENSRNOG00000020892;Dpf2
ENSRNOG00000034107;LOC681282
ENSRNOG00000016396;Fbxo11
ENSRNOG00000025462;Wdr41
ENSRNOG00000023601;Elavl4
ENSRNOG00000027057;Gga3
ENSRNOG00000018781;Map1s
ENSRNOG00000002828;Tob1
ENSRNOG00000019177;Psd2
ENSRNOG00000009020;Tsta3
ENSRNOG00000018425;Dym
ENSRNOG00000023850;Tbrg1
ENSRNOG00000028366;Gphn
ENSRNOG00000016748;Poll
ENSRNOG00000055226;Dab2ip
ENSRNOG00000004006;Dnajb9
ENSRNOG00000050473;Rps27l
ENSRNOG00000013516;Sf3b1
ENSRNOG00000000931;Sfswap
ENSRNOG00000045636;Fasn
ENSRNOG00000008851;Slc35b4
ENSRNOG00000019900;Slc35b2
ENSRNOG00000006576;Bms1
ENSRNOG00000000476;Zbtb22
ENSRNOG00000003262;Cacng4
ENSRNOG00000002714;Mettl22
ENSRNOG00000002319;Tsn
ENSRNOG00000000664;Tpst2
ENSRNOG00000019253;Bcar1
ENSRNOG00000021222;Vps16
ENSRNOG00000021256;Adra1d
ENSRNOG00000014072;Txndc17
ENSRNOG00000008704;Nlk
ENSRNOG00000004382;Arel1
ENSRNOG00000016684;Wnk2
ENSRNOG00000049983;Shd
ENSRNOG00000053075;B4galnt4
ENSRNOG00000022582;Ccnq
ENSRNOG00000013408;Npas2
ENSRNOG00000050289;Cstf2t
ENSRNOG00000001689;Arl6
ENSRNOG00000061102;Taf9b
ENSRNOG00000000302;Sesn1
ENSRNOG00000019590;Smg5
ENSRNOG00000023467;Fam168b
ENSRNOG00000001297;Prmt2
ENSRNOG00000016234;Ciapin1
ENSRNOG00000013847;Nova2
ENSRNOG00000007267;Mnat1
ENSRNOG00000022273;Rfk
ENSRNOG00000007884;Bcap29
ENSRNOG00000005730;Pcmtd1
ENSRNOG00000019339;AABR07051518.1
ENSRNOG00000057623;Copb1
ENSRNOG00000009568;Hdac1
ENSRNOG00000014171;Tnfsf13
ENSRNOG00000047874;Nelfcd
ENSRNOG00000019400;Dag1
ENSRNOG00000002116;LOC100911575
ENSRNOG00000023375;Rab34
ENSRNOG00000017022;Cerk
ENSRNOG00000020489;Tmem145
ENSRNOG00000001339;Psmd9
ENSRNOG00000017119;Ciao2a
ENSRNOG00000027015;Ythdf1
ENSRNOG00000012663;Mfsd6
ENSRNOG00000017502;Sike1
ENSRNOG00000003248;Mpzl1
ENSRNOG00000005249;Snx6
ENSRNOG00000020869;mrpl9
ENSRNOG00000006331;Elovl5
ENSRNOG00000009675;Cdc42bpb
ENSRNOG00000001827;Masp1
ENSRNOG00000021138;Cers2
ENSRNOG00000048686;AABR07066379.1
ENSRNOG00000046949;Kcnb1
ENSRNOG00000000900;Tpst1
ENSRNOG00000010427;Ipo7
ENSRNOG00000000314;Sec63
ENSRNOG00000010975;Adnp
ENSRNOG00000005191;Trim44
ENSRNOG00000029682;Clic1
ENSRNOG00000054157;Nadk2
ENSRNOG00000005096;Bzw2
ENSRNOG00000003721;Paqr4
ENSRNOG00000016152;Dek
ENSRNOG00000016109;Neurl4
ENSRNOG00000003469;MAST1
ENSRNOG00000013165;Bet1l
ENSRNOG00000005301;Eif2b4
ENSRNOG00000001633;Tfg
ENSRNOG00000049223;Vipas39
ENSRNOG00000033970;Moap1
ENSRNOG00000004117;Kcnv1
ENSRNOG00000053084;Fuz
ENSRNOG00000019596;Smg9
ENSRNOG00000008177;Pim2
ENSRNOG00000005524;Pno1
ENSRNOG00000006813;Sumf1
ENSRNOG00000019924;Thop1
ENSRNOG00000003834;Map2k4
ENSRNOG00000025701;Nifk
ENSRNOG00000005809;Arhgdib
ENSRNOG00000018797;Myrip
ENSRNOG00000012828;Emg1
ENSRNOG00000006440;Ift27
ENSRNOG00000031127;Snrpe
ENSRNOG00000050483;Pradc1
ENSRNOG00000004640;Mtfp1
ENSRNOG00000057194;Tars2
ENSRNOG00000008223;Cnr1
ENSRNOG00000051006;Ufsp1
ENSRNOG00000002275;Fip1l1
ENSRNOG00000051120;Il17d
ENSRNOG00000003139;Smc1a
ENSRNOG00000001773;Senp2
ENSRNOG00000026211;Mri1
ENSRNOG00000003891;AC118957.1
ENSRNOG00000015642;Pabpc4
ENSRNOG00000050849;Leprot
ENSRNOG00000018309;Chd4
ENSRNOG00000003495;Prpf8
ENSRNOG00000000262;Zfp821
ENSRNOG00000013368;Plcl2
ENSRNOG00000025071;Qrich1
ENSRNOG00000018697;Abcb6
ENSRNOG00000016427;Letm1
ENSRNOG00000005258;Myef2
ENSRNOG00000054400;Sh3bp5l
ENSRNOG00000024452;Carmil2
ENSRNOG00000017671;Rasa3
ENSRNOG00000019069;Nxf1
ENSRNOG00000017090;RGD1308706
ENSRNOG00000002440;Ralb
ENSRNOG00000060063;Naa10
ENSRNOG00000037247;Rras
ENSRNOG00000019318;Syt3
ENSRNOG00000049661;Inafm1
ENSRNOG00000029698;Pim3
ENSRNOG00000037443;Pgam5
ENSRNOG00000037850;Marc2
ENSRNOG00000027230;Fhod3
ENSRNOG00000024310;Kcnf1
ENSRNOG00000046912;Nr1d2
ENSRNOG00000017040;Wrnip1
ENSRNOG00000002963;C1ql1
ENSRNOG00000006554;Fam149b1
ENSRNOG00000022274;Slc2a8
ENSRNOG00000015417;Kansl3
ENSRNOG00000015218;Nsmce1
ENSRNOG00000018910;Abhd11
ENSRNOG00000022392;Hspb8
ENSRNOG00000052486;Kcna6
ENSRNOG00000009088;Txnrd1
ENSRNOG00000001314;Fam20c
ENSRNOG00000018023;Bin3
ENSRNOG00000022356;Zc2hc1a
ENSRNOG00000006380;Srsf6
ENSRNOG00000003338;Pmp22
ENSRNOG00000014665;Dhdds
ENSRNOG00000002450;Rrp15
ENSRNOG00000024601;Taf11
ENSRNOG00000019342;Sult1a1
ENSRNOG00000010966;Itgb1
ENSRNOG00000053428;Ccpg1
ENSRNOG00000013852;Med20
ENSRNOG00000013305;Atp2c1
ENSRNOG00000001958;Ift57
ENSRNOG00000049937;Pdxk
ENSRNOG00000047115;Cox16
ENSRNOG00000022234;mrpl24
ENSRNOG00000022267;AABR07039334.1
ENSRNOG00000012488;Rab2b
ENSRNOG00000029394;Dusp8
ENSRNOG00000004287;Wdr83
ENSRNOG00000053405;Rpap3
ENSRNOG00000022732;Tmem126b
ENSRNOG00000005618;Fmc1
ENSRNOG00000020076;Borcs7
ENSRNOG00000017306;AABR07071876.1
ENSRNOG00000062247;AABR07031521.1
ENSRNOG00000014204;Pacsin3
ENSRNOG00000017748;Nkx6-2
ENSRNOG00000006146;Trim54
ENSRNOG00000004941;Gpn1
ENSRNOG00000025496;Usp7
ENSRNOG00000018345;Abce1
ENSRNOG00000001700;Whrn
ENSRNOG00000026036;Pdyn
ENSRNOG00000019281;Glmp
ENSRNOG00000005045;Ppp2r5e
ENSRNOG00000053813;Nkap
ENSRNOG00000029049;Zdhhc14
ENSRNOG00000016273;Fam136a
ENSRNOG00000049908;AABR07037436.1
ENSRNOG00000000048;Gak
ENSRNOG00000021497;Akt3
ENSRNOG00000008427;Necap2
ENSRNOG00000017900;rnf141
ENSRNOG00000021475;Ldah
ENSRNOG00000007739;Rars
ENSRNOG00000015699;Lman2l
ENSRNOG00000020904;Cdc42ep2
ENSRNOG00000056647;Ascc1
ENSRNOG00000031038;Gtdc1
ENSRNOG00000012966;Acadl
ENSRNOG00000027040;Ggact
ENSRNOG00000015852;Arhgap35
ENSRNOG00000017586;LOC685273
ENSRNOG00000019374;Csk
ENSRNOG00000020663;Pygo2
ENSRNOG00000008472;Rbm10
ENSRNOG00000018876;Entr1
ENSRNOG00000032027;Tmem42
ENSRNOG00000006494;Tubg2
ENSRNOG00000010096;Azi2
ENSRNOG00000014338;Slc25a25
ENSRNOG00000051564;Rap2a
ENSRNOG00000059016;Tspan12
ENSRNOG00000018873;Fam168a
ENSRNOG00000024808;Stk39
ENSRNOG00000017170;Med4
ENSRNOG00000053766;Ramp3
ENSRNOG00000030443;Rab9a
ENSRNOG00000011887;RGD1307929
ENSRNOG00000056558;Gabra3
ENSRNOG00000047761;Zfp326
ENSRNOG00000016302;Cnnm1
ENSRNOG00000003844;Dhx15
ENSRNOG00000016532;Ino80c
ENSRNOG00000018677;Akt2
ENSRNOG00000021201;Txnip
ENSRNOG00000006368;Lrrn3
ENSRNOG00000004827;Papola
ENSRNOG00000013452;Rcn1
ENSRNOG00000017165;Akr1e2
ENSRNOG00000017354;Zyx
ENSRNOG00000019246;Psme2
ENSRNOG00000019826;Sil1
ENSRNOG00000057851;LOC680254
ENSRNOG00000053040;AC094643.2
ENSRNOG00000017752;Mccc2
ENSRNOG00000013743;Sec61a1
ENSRNOG00000045931;Sik3
ENSRNOG00000002610;Carhsp1
ENSRNOG00000054121;AABR07061178.1
ENSRNOG00000037435;Tmem196
ENSRNOG00000014190;Hint3
ENSRNOG00000017786;Acta1
ENSRNOG00000051416;AABR07071000.1
ENSRNOG00000014215;Klf9
ENSRNOG00000009863;Prrt3
ENSRNOG00000016390;Eef1e1
ENSRNOG00000016486;Nop58
