ensembl_gene_id;gene_symbol
ENSRNOG00000060293;Ndufa3
ENSRNOG00000053362;Gabarapl1
ENSRNOG00000016272;Edf1
ENSRNOG00000001709;Ap2m1
ENSRNOG00000005828;Skp1
ENSRNOG00000019721;Ypel3
ENSRNOG00000032729;Bex2
ENSRNOG00000010189;Rps24
ENSRNOG00000002115;Sod1
ENSRNOG00000059605;Ddn
ENSRNOG00000000840;Atp6v1g2
ENSRNOG00000006979;Hpca
ENSRNOG00000034066;Hspa8
ENSRNOG00000018680;Rpl17
ENSRNOG00000005975;LOC100362027
ENSRNOG00000017032;Atp5f1a
ENSRNOG00000020263;Atp1a3
ENSRNOG00000001173;Cabp1
ENSRNOG00000011893;Rps3a
ENSRNOG00000020266;Eef2
ENSRNOG00000014214;Rpl27a
ENSRNOG00000047003;AABR07066693.1
ENSRNOG00000019459;Oaz1
ENSRNOG00000009378;Rpl4
ENSRNOG00000016896;Rpl3
ENSRNOG00000016589;Mlf2
ENSRNOG00000033473;Rpl36
ENSRNOG00000025443;Map1lc3a
ENSRNOG00000014179;Rps2
ENSRNOG00000008461;Smdt1
ENSRNOG00000003597;Tuba4a
ENSRNOG00000048617;Ensa
ENSRNOG00000058105;Hbb
ENSRNOG00000000774;Gabbr1
ENSRNOG00000016387;Rpl34
ENSRNOG00000004426;Rps27a
ENSRNOG00000003201;Rps4x
ENSRNOG00000001436;Ywhag
ENSRNOG00000007235;Atp5mc1
ENSRNOG00000002671;Nme2
ENSRNOG00000061216;Tubb5
ENSRNOG00000001815;Eif4a2
ENSRNOG00000018526;Dlg4
ENSRNOG00000034180;LOC100360841
ENSRNOG00000021808;Tecr
ENSRNOG00000015514;Bcat1
ENSRNOG00000047321;Hba-a2
ENSRNOG00000001528;Gap43
ENSRNOG00000015703;Hypk
ENSRNOG00000036701;LOC100361457
ENSRNOG00000000527;Mtch1
ENSRNOG00000016478;Eif5a
ENSRNOG00000038951;Cox17
ENSRNOG00000006997;App
