"geneID","gene.name","mean.log2.pfkm","fdr.hemisphere","fdr.treatment","fdr.interaction"
"ENSRNOG00000009987","Akap11",3.95027224527951,0.823515469547758,0.718391040661006,0.999999999999993
"ENSRNOG00000009990","Zranb2",5.71294223024784,0.833302262278036,0.476105805496762,0.999999999999993
"ENSRNOG00000009992","Rabggtb",6.15913024911838,0.90762073232349,0.61708562478308,0.999999999999993
"ENSRNOG00000009993","Dcps",4.25854969203145,0.96161340784846,0.473752903141703,0.999999999999993
"ENSRNOG00000009994","Dlat",4.68038819707147,0.823515469547758,0.594533645631648,0.999999999999993
"ENSRNOG00000009995","Rapgef6",0.763643241531146,NA,NA,NA
"ENSRNOG00000009997","Erap1",2.45136570069751,0.957473238805932,0.402147940139947,0.999999999999993
"ENSRNOG00000010002","Stpg3",0.100431068392916,NA,NA,NA
"ENSRNOG00000010004","Ripply2",1.59800469369621,0.903300761298192,0.8316948480975,0.999999999999993
"ENSRNOG00000010005","Adck2",3.12487421851565,0.823515469547758,0.78673416511243,0.999999999999993
"ENSRNOG00000010007","Srsf4",5.2142325922766,0.823515469547758,0.875219033309531,0.999999999999993
"ENSRNOG00000010008","Polr3a",2.3362026642241,0.865422402601236,0.941285638541977,0.999999999999993
"ENSRNOG00000010011","Osbpl3",1.3985243124015,0.906955446156816,0.442985715989866,0.999999999999993
"ENSRNOG00000010015","Gp9",0.0168024377907215,NA,NA,NA
"ENSRNOG00000010017","Wee1",3.08701772938554,0.823515469547758,0.942761533496451,0.999999999999993
"ENSRNOG00000010018","Clec4a3",0.819572108517643,NA,NA,NA
"ENSRNOG00000010019","Fam166a",0.0224926504595367,NA,NA,NA
"ENSRNOG00000010021","Isy1",3.71456111789425,0.889229090393382,0.543682643001651,0.999999999999993
"ENSRNOG00000010023","Slc33a1",3.67133900213287,0.823515469547758,0.339187499111341,0.999999999999993
"ENSRNOG00000010024","Cyb5r4",3.88030400460599,0.823515469547758,0.432948933105448,0.999999999999993
"ENSRNOG00000010027","Atr",0.405952601017941,NA,NA,NA
"ENSRNOG00000010028","Polr3d",4.89158855065872,0.886672521525036,0.520934374938188,0.999999999999993
"ENSRNOG00000010029","Ubald2",5.67437751714417,0.823515469547758,0.642509756287157,0.999999999999993
"ENSRNOG00000010031","Vtn",4.832185631756,0.841222830299293,0.321207954850859,0.999999999999993
"ENSRNOG00000010034","Asah1",4.62035351328977,0.978001570042163,0.500524482841809,0.999999999999993
"ENSRNOG00000010035","Olr554",0,NA,NA,NA
"ENSRNOG00000010037","Epb41",1.54977569951425,0.823515469547758,0.669811500058885,0.999999999999993
"ENSRNOG00000010038","Psmc5",8.21205447575267,0.823875025564177,0.348681251045143,0.999999999999993
"ENSRNOG00000010041","Ube2g1",5.27776516166184,0.906569188535059,0.5202846767638,0.999999999999993
"ENSRNOG00000010042","Wdfy2",1.49307784490501,0.823515469547758,0.273179727514778,0.999999999999993
"ENSRNOG00000010045","Clec4a",0.354701946126253,NA,NA,NA
"ENSRNOG00000010047","Ddit4l2",1.7406756644904,0.823515469547758,0.908119666035673,0.999999999999993
"ENSRNOG00000010048","Dctn1",6.98118055932416,0.823515469547758,0.895504930364393,0.999999999999993
"ENSRNOG00000010050","Stard9",0.296993060820551,NA,NA,NA
"ENSRNOG00000010052","Olr555",0,NA,NA,NA
"ENSRNOG00000010053","Calcr",0.165765391352997,NA,NA,NA
"ENSRNOG00000010057","Clec4n",0,NA,NA,NA
"ENSRNOG00000010058","Spry2",4.95071934527191,0.825764466139849,0.478834831625624,0.999999999999993
"ENSRNOG00000010060","Panx1",3.75466299162167,0.823515469547758,0.07587676315466,0.999999999999993
"ENSRNOG00000010063","Htr2a",3.25002508650454,0.907336731384143,0.545394916343876,0.999999999999993
"ENSRNOG00000010064","Abcc4",0.870416112920571,NA,NA,NA
"ENSRNOG00000010065","Dgkh",0.28111427555752,NA,NA,NA
"ENSRNOG00000010067","Lypla2",5.8221212841981,0.947646015067482,0.312185728889649,0.999999999999993
"ENSRNOG00000010068","Plpp7",4.59482779061039,0.823515469547758,0.626558476400112,0.999999999999993
"ENSRNOG00000010071","RGD1560010",1.09245083709547,0.823515469547758,0.610986425654017,0.999999999999993
"ENSRNOG00000010076","Pkp1",0.477765407017851,NA,NA,NA
"ENSRNOG00000010077","Smarcd3",5.48853333657509,0.875219206041242,0.701859065375674,0.999999999999993
"ENSRNOG00000010078","Spag1",0.748716139649187,NA,NA,NA
"ENSRNOG00000010079","Car3",0.786023799708807,NA,NA,NA
"ENSRNOG00000010081","Tmem144",3.11867871314179,0.863519587572373,0.837604319258159,0.999999999999993
"ENSRNOG00000010083","Prpsap1",4.88929496374406,0.917020570548026,0.701140900507444,0.999999999999993
"ENSRNOG00000010084","Ythdf3",2.96332267207444,0.885733812396268,0.528021778417216,0.999999999999993
"ENSRNOG00000010085","Cldn10",5.30039342475559,0.823515469547758,0.917372965078774,0.999999999999993
"ENSRNOG00000010086","Plagl2",1.20012775946734,0.823515469547758,0.72669980456001,0.999999999999993
"ENSRNOG00000010087","Zfp143",1.95902750247358,0.977038672004417,0.951720440790389,0.999999999999993
"ENSRNOG00000010090","Ccdc174",3.29294158255041,0.854870698250264,0.885563644246479,0.999999999999993
"ENSRNOG00000010091","Efcab14",3.03869222331657,0.823515469547758,0.791896500893351,0.999999999999993
"ENSRNOG00000010092","Magix",0.283755802569162,NA,NA,NA
"ENSRNOG00000010094","Kcnmb2",1.11823364463667,0.823515469547758,0.74130940061748,0.999999999999993
"ENSRNOG00000010096","Azi2",4.40669324976569,0.823515469547758,0.632952736396906,0.999999999999993
"ENSRNOG00000010098","Plek2",1.16002751516259,0.823515469547758,0.883276566660783,0.999999999999993
"ENSRNOG00000010099","Asb8",5.80569176677534,0.823515469547758,0.842044380195582,0.999999999999993
"ENSRNOG00000010100","Tyw5",3.03786478615346,0.90448140237888,0.982218054345203,0.999999999999993
"ENSRNOG00000010101","AC118490.1",1.46526669547077,0.957473238805932,0.36117828824066,0.999999999999993
"ENSRNOG00000010103","Eif4b",6.1166418074044,0.823515469547758,0.91079236482736,0.999999999999993
"ENSRNOG00000010104","Pofut1",1.99420382395055,0.823515469547758,0.587232085039435,0.999999999999993
"ENSRNOG00000010105","S100a11",2.9441267879977,0.823515469547758,0.816484394480919,0.999999999999993
"ENSRNOG00000010106","Faxc",1.67299643698547,0.974461895177428,0.660692332482342,0.999999999999993
"ENSRNOG00000010107","AABR07025295.1",0.95002770247476,NA,NA,NA
"ENSRNOG00000010109","Nol9",2.2381778015534,0.823515469547758,0.626558476400112,0.999999999999993
"ENSRNOG00000010111","Exoc3l4",0.506834418078727,NA,NA,NA
"ENSRNOG00000010116","Leo1",4.31368375085696,0.823515469547758,0.814982312035807,0.999999999999993
"ENSRNOG00000010117","Eif3a",4.81524636068099,0.823515469547758,0.860358533229018,0.999999999999993
"ENSRNOG00000010119","Zmat3",2.77971577444428,0.823515469547758,0.587627354544915,0.999999999999993
"ENSRNOG00000010121","Lef1",1.55438894797094,0.874247314585722,0.752198942663996,0.999999999999993
"ENSRNOG00000010124","Trim2",4.58808204057862,0.823515469547758,0.951720440790389,0.999999999999993
"ENSRNOG00000010125","Mtrex",3.51664750013099,0.831999890876255,0.712670850363486,0.999999999999993
"ENSRNOG00000010126","Riox1",3.6759558027213,0.823515469547758,0.499653764948374,0.999999999999993
"ENSRNOG00000010128","Slc27a2",0.19662945845169,NA,NA,NA
"ENSRNOG00000010131","Rin2",3.05046441876582,0.823515469547758,0.438723945831445,0.999999999999993
"ENSRNOG00000010133","Bpgm",6.54487072252083,0.948028635861019,0.62072233339143,0.999999999999993
"ENSRNOG00000010134","Acot2",2.68076624559983,0.823515469547758,0.93719297452747,0.999999999999993
"ENSRNOG00000010137","Xpo4",0.955638163873085,NA,NA,NA
"ENSRNOG00000010141","Ttll1",4.61777002419801,0.969501013106445,0.770297531029309,0.999999999999993
"ENSRNOG00000010144","AABR07019399.1",0.184638649270427,NA,NA,NA
"ENSRNOG00000010146","Ndn",7.84353355112475,0.880273045108552,0.393130516748414,0.999999999999993
