"geneID","gene.name","mean.fpkm","fdr.Hem","fdr.Tr","fdr.Int","fold.lefts","fold.rights","fold.within.OHDHA","fold.within.LDOPA","fold.treatment","fold.hemisphere"
"ENSRNOG00000000781","Rnf39",3.34976780363578,0.823515469547758,0.00959222714778085,0.999999999999993,0.531034327070953,0.262125183060285,0.208627402330571,0.0602817416800976,0.793159510131239,0.148345660650474
"ENSRNOG00000001766","Tfrc",3.75539880869275,0.951742198643351,0.0169562251645201,0.999999999999993,0.306258233258569,0.451957060559202,0.0617662150944058,0.0839326122062265,0.758215293817771,0.0221663971118211
"ENSRNOG00000001843","Bcl6",3.452334968189,0.823515469547758,0.00885169331277294,0.999999999999993,0.380318508770003,0.404606837012446,0.0729657824866679,0.0486774542442241,0.784925345782449,0.121643236730892
"ENSRNOG00000002697","Mtmr1",4.58435492087369,0.825449513642922,0.0104085249563057,0.999999999999993,0.287033781613525,0.378288109759699,0.0847901815313694,0.0064641466148041,0.665321891373225,0.0783260349165644
"ENSRNOG00000003334","Klhl21",2.52733562642215,0.823515469547758,0.044072472239078,0.999999999999993,0.298228320943096,0.253449473313354,0.0501464176238144,0.0949252652535573,0.551677794256451,0.145071682877371
"ENSRNOG00000004699","Fibin",2.43395942334506,0.831999890876255,0.0234500933952882,0.999999999999993,0.585460884106711,0.638038030643301,0.0455383487659242,0.0981154953025141,1.22349891475001,0.143653844068438
"ENSRNOG00000006877","Efnb1",3.04724605877992,0.870510632448115,0.0065889834858956,0.999999999999993,0.311953717006688,0.66696825697526,0.210692406560618,0.144322133407954,0.978921973981947,0.0663702731526641
"ENSRNOG00000006972","Zfp189",3.08933761046112,0.99803928676791,0.00379333271008194,0.999999999999993,1.12439229609351,1.0371141753482,0.0423825291912361,0.0448955915540705,2.16150647144171,0.00251306236283533
"ENSRNOG00000007284","Slc2a1",6.12817019216613,0.823515469547758,0.0174617080934466,0.999999999999993,0.570381606534404,0.744220883601503,0.315748071200646,0.141908794133547,1.31460249013591,0.457656865334194
"ENSRNOG00000007346","Grasp",5.32212281831913,0.916226142801028,0.0227847982418235,0.999999999999993,0.249260163579561,0.465439015072581,0.126547230477019,0.0896316210160011,0.714699178652143,0.0369156094610172
"ENSRNOG00000007387","Per1",4.02356512914337,0.823515469547758,0.00658426056233298,0.999999999999993,1.12421379085141,0.913647447844309,0.124073756071922,0.334640099079026,2.03786123869572,0.458713855150948
"ENSRNOG00000007390","Nfkbia",4.17885767492473,0.995316508261404,0.0104085249563057,0.999999999999993,1.13371454913572,1.01491782870957,0.0634636097351455,0.055333110691004,2.14863237784529,0.00813049904414243
"ENSRNOG00000008336","Tnfrsf11b",2.8791637601163,0.974277048363306,0.0329427104629273,0.999999999999993,0.733069485675518,0.843218665728939,0.0697039271288999,0.0404452529245209,1.57628815140446,0.029258674204379
"ENSRNOG00000008415","Nab2",3.92667640399426,0.858521240929412,0.0279939745463144,0.999999999999993,0.610926755658415,0.569720777050975,0.0360378035473508,0.0772437821547909,1.18064753270939,0.113281585702142
"ENSRNOG00000008519","Dipk2a",3.45549994285344,0.976478212939333,0.0370065608998714,0.999999999999993,0.387274231657535,0.523654933867314,0.0603041836066658,0.0760765186031134,0.910929165524848,0.0157723349964485
"ENSRNOG00000009630","Hsd17b12",5.43851409400894,0.869107364339681,0.0279939745463144,0.999999999999993,0.167442418918062,0.160470314338524,0.0179783454975002,0.0110062409179621,0.327912733256586,0.0289845864154632
"ENSRNOG00000010799","Noct",4.14925601910553,0.823515469547758,0.0189049572352625,0.999999999999993,0.320506562083612,0.233686417290032,0.0323961280861353,0.119216272879715,0.554192979373644,0.151612400965851
"ENSRNOG00000010918","Cebpa",2.86942994141052,0.823875025564177,0.0279939745463144,0.999999999999993,0.267792068698997,0.35189964980042,0.0865325443867921,0.00242496328536967,0.619691718499418,0.0889575076721627
"ENSRNOG00000011815","Sgk1",5.05110743507271,0.895728238082626,0.000371987151963199,0.999999999999993,1.54864426058528,1.48583986441133,0.0227719510727136,0.0855763472466595,3.03448412499661,0.108348298319372
"ENSRNOG00000012074","Ifngr1",4.89033997714939,0.981551465948368,0.0392685366863349,0.999999999999993,0.318984905844024,0.394005333553419,0.0424177101021614,0.032602717607233,0.712990239397442,0.00981499249492934
"ENSRNOG00000012199","Sox2",4.61701727239735,0.823515469547758,0.0104085249563057,0.999999999999993,0.449014559369838,0.444674766515343,0.145796566394817,0.141456773540322,0.89368932588518,0.287253339935139
"ENSRNOG00000013179","Tinagl1",2.88796314760584,0.97272913511501,0.0104085249563057,0.999999999999993,0.999472790282913,1.37252193569697,0.205766868339394,0.167282277074658,2.37199472597988,0.0384845912647354
"ENSRNOG00000014548","Nedd9",1.9397980097049,0.833302262278036,0.00658426056233298,0.999999999999993,0.498253844248745,0.333682627893294,0.0447593570477494,0.119811859307702,0.831936472142039,0.0750525022599526
"ENSRNOG00000015999","Cirbp",5.32839398552666,0.877019201811926,0.0121478947583457,0.999999999999993,0.310161847584968,0.300250791060326,0.0269817621919062,0.0170707056672637,0.610412638645293,0.0440524678591689
"ENSRNOG00000016299","Klf4",2.67965856406012,0.823515469547758,0.0273965831211752,0.999999999999993,0.879083138388302,0.866434823758897,0.43215724523073,0.444805559860135,1.7455179621472,0.876962805090865
"ENSRNOG00000017539","Mmp9",1.1551225360159,0.823515469547758,0.0470254094561122,0.999999999999993,0.449687730025046,0.305676413253828,0.368070421495395,0.224059104724177,0.755364143278875,0.592129526219573
